name,int,auto,init,type,field,method,dyn,size
VMT_4010EC_TObject,0,0,0,0,0,0,0,4
VMT_8560EC_TAD,0,0,0,0,0,0,0,4
VMT_850EA8_TStringsEC,0,0,0,0,0,0,0,16
VMT_850E3C_TStringsElEC,0,0,8720008,0,0,0,0,20
VMT_847360_TPixelFormatGR,0,0,0,0,0,0,0,76
VMT_8316F8_TTextureGR,0,0,8591172,0,0,0,0,20
VMT_830678_TOggWorker,0,0,0,0,0,0,0,740
VMT_81BF50_TSpaceSE,0,0,0,0,0,0,0,108
VMT_80CB20_TProcessSE,0,0,0,0,0,0,0,80
VMT_8054F8_TShip2AnimSE,0,0,8410436,0,0,0,0,28
VMT_7F26D0_TEFilmObj,0,0,8333084,0,0,0,0,28
VMT_7850EC_TStar,0,0,7885112,0,0,0,0,276
VMT_6DD948_TPlayerHoldUnit,0,0,0,0,0,0,0,28
VMT_68C688_TWeaponEffect,0,0,6866644,0,0,0,0,64
VMT_63E3F0_TLibraryCache,0,0,0,0,0,0,0,8
VMT_63E380_TLibraryHandler,0,0,6546380,0,0,0,0,16
VMT_63E324_TScriptGICache,0,0,0,0,0,0,0,8
VMT_63E2B0_TScriptGICacheUnit,0,0,6546172,0,0,0,0,16
VMT_63E254_TScriptCache,0,0,0,0,0,0,0,8
VMT_63E1DC_TScriptCacheUnit,0,0,6545960,0,0,0,0,28
VMT_5D1A00_TfQuestA,0,0,0,0,0,0,0,20
VMT_588ED8_TAchievementStats,0,0,0,0,0,0,0,48
VMT_5716C8_TfScoreUnit,0,0,5707540,0,0,0,0,124
VMT_51CFB8_TSputnikTempl,0,0,5361668,0,0,0,0,12
VMT_51CF34_TPlanetTempl,0,0,5361536,0,0,0,0,24
VMT_4D36D0_TEtherUnit,0,0,5060380,0,0,0,0,20
VMT_4D234C_TSPath,0,0,0,0,0,0,0,24
VMT_4D02D4_TPolygon2D,0,0,0,0,0,0,0,60
VMT_4BCFFC_TCCInterface,0,0,0,0,0,0,0,16
VMT_4BCF88_TCursorUnit,0,0,4968404,0,0,0,0,28
VMT_4BCCE4_TQuestMessages,0,0,0,0,0,0,0,8
VMT_4B9168_TPackCollectionEC,0,0,0,0,0,0,0,532
VMT_4B9100_THashEC,0,0,4952396,0,0,0,0,53276
VMT_4B9094_TPackFileEC,0,0,4952288,0,0,0,0,528
VMT_4B9020_THsFolderEC,0,0,4952172,0,0,0,0,36
VMT_4A6E58_TStarFieldList,0,0,0,0,0,0,0,16
VMT_4910E0_TMultiImageImageGI,0,0,0,0,0,0,0,24
VMT_491080_TMultiImageRowGI,0,0,0,0,0,0,0,24
VMT_491020_TMultiImageColGI,0,0,0,0,0,0,0,28
VMT_490FC0_TMultiImageUnitGI,0,0,0,0,0,0,0,40
VMT_469054_TRectGR,0,0,0,0,0,0,0,28
VMT_456D0C_TCompilerEC,0,0,0,0,0,0,0,12
VMT_456C9C_TCompilerUnitEC,0,0,4549864,0,0,0,0,48
VMT_456C34_TCodeEC,0,0,4549760,0,0,0,0,40
VMT_456BD8_TCodeProcessEC,0,0,0,0,0,0,0,12
VMT_456B80_TCodeUnitEC,0,0,0,0,0,0,0,44
VMT_456B24_TExpressionEC,0,0,0,0,0,0,0,28
VMT_456AAC_TExpressionVarEC,0,0,4549368,0,0,0,0,20
VMT_456A10_TExpressionInstrEC,0,0,4549212,0,0,0,0,16
VMT_45698C_TCodeAnalyzerEC,0,0,0,0,0,0,0,20
VMT_456918_TCodeAnalyzerUnitEC,0,0,4548964,0,0,0,0,28
VMT_4568C0_TVarArrayEC,0,0,0,0,0,0,0,16
VMT_456820_TVarEC,0,0,4548716,0,0,0,0,60
VMT_455BD4_TObjectEx,0,0,0,0,0,0,0,4
VMT_84F63C_TFileEC,0,0,8713864,0,0,0,0,16
VMT_84DBD4_TBufEC,0,0,0,0,0,0,0,20
VMT_84D710_TGraphBufPalGR,0,0,0,0,0,0,0,32
VMT_8473BC_TGraphBufGR,0,0,8680456,0,0,0,0,44
VMT_830F94_TThreadEC,0,0,0,0,0,0,0,44
VMT_85613C_TSteamCallbacksThread,0,0,0,0,0,0,0,44
VMT_82C4DC_TMusicControl,0,0,8570156,0,0,0,0,68
VMT_82C46C_TMusicUnit,0,0,8570044,0,0,0,0,84
VMT_7FDB14_TThreadCreateNewGame,0,0,8379236,0,0,0,0,76
VMT_7CAF2C_TThreadCalc,0,0,0,0,0,0,0,48
VMT_674FB8_TfFilmLoader,0,0,0,0,0,0,0,44
VMT_659254_TCacheLoader,0,0,0,0,0,0,0,56
VMT_652CE8_TThreadGameLoad,0,0,0,0,0,0,0,48
VMT_63E17C_TScriptThread,0,0,0,0,0,0,0,44
VMT_51A924_TSaver,0,0,5351796,0,0,0,0,68
VMT_48F3DC_TGAIFileThreadGI,0,0,0,0,0,0,0,48
VMT_456004_TFileStreamEC,0,0,0,0,0,0,0,88
VMT_82D99C_TSoundControl,0,0,8575464,0,0,0,0,48
VMT_82D928_TSoundBuffer,0,0,8575348,0,0,0,0,104
VMT_82D8B4_TSoundBufferControl,0,0,8575232,0,0,0,0,28
VMT_828E68_TBlockParEC,0,0,8556212,0,0,0,0,36
VMT_828D9C_TBlockParElEC,0,0,8556008,0,0,0,0,44
VMT_822C10_TDataEC,0,0,8531036,0,0,0,0,44
VMT_822B64_TDataElEC,0,0,8530864,0,0,0,0,36
VMT_822B0C_TDataFileEC,0,0,0,0,0,0,0,16
VMT_8214F0_TCacheEC,0,0,0,0,0,0,0,28
VMT_82147C_TCacheDataEC,0,0,8525008,0,0,0,0,32
VMT_821090_TCSoundEC,0,0,0,0,0,0,0,60
VMT_820D28_TCBitmapEC,0,0,0,0,0,0,0,36
VMT_530F80_TCBufEC,0,0,0,0,0,0,0,36
VMT_49CC90_TCPlanetTemplEC,0,0,0,0,0,0,0,40
VMT_49C658_TCLightPalEC,0,0,0,0,0,0,0,36
VMT_48BD18_TCHSAIEC,0,0,0,0,0,0,0,52
VMT_48A35C_TCRotateBufEC,0,0,0,0,0,0,0,36
VMT_48A06C_TCPalBitmapEC,0,0,0,0,0,0,0,36
VMT_47A990_TCFontEC,0,0,4696548,0,0,0,0,92
VMT_4737B4_TCGaiEC,0,0,4667400,0,0,0,0,60
VMT_46F9FC_TCGiEC,0,0,4651600,0,0,0,0,52
VMT_46C4E8_TCAlphaBitmapEC,0,0,0,0,0,0,0,56
VMT_46B5D8_TCTBitmapEC,0,0,0,0,0,0,0,44
VMT_8213F4_TCacheControlEC,0,0,8524888,0,0,0,0,24
VMT_821018_TCSoundControlEC,0,0,0,0,0,0,0,24
VMT_820CB0_TCBitmapControlEC,0,0,0,0,0,0,0,24
VMT_530F0C_TCBufControlEC,0,0,0,0,0,0,0,24
VMT_49CC14_TCPlanetTemplControlEC,0,0,0,0,0,0,0,24
VMT_49C5E0_TCLightPalControlEC,0,0,0,0,0,0,0,24
VMT_48BCA4_TCHSAIControlEC,0,0,0,0,0,0,0,24
VMT_48A2E0_TCRotateBufControlEC,0,0,0,0,0,0,0,24
VMT_489FF0_TCPalBitmapControlEC,0,0,0,0,0,0,0,24
VMT_47A8F4_TCFontControlEC,0,0,0,0,0,0,0,24
VMT_47371C_TCGaiControlEC,0,0,0,0,0,0,0,24
VMT_46F964_TCGiControlEC,0,0,0,0,0,0,0,24
VMT_46C46C_TCAlphaBitmapControlEC,0,0,0,0,0,0,0,24
VMT_46B560_TCTBitmapControlEC,0,0,0,0,0,0,0,24
VMT_81DDFC_TfPanelLoad,0,0,0,0,0,0,0,160
VMT_81BE7C_TObjectSE,0,0,8503076,0,0,0,0,76
VMT_80E3BC_TStarSE,0,0,8447076,0,0,0,0,120
VMT_80C2AC_TMeteoriteSE,0,0,8438612,0,0,0,0,100
VMT_80AFA0_TAngelSE,0,0,8433736,0,0,0,0,188
VMT_8097BC_TCometSE,0,0,8427620,0,0,0,0,288
VMT_809488_TBGObjSE,0,0,8426800,0,0,0,0,88
VMT_808F00_TAnimSE,0,0,8425384,0,0,0,0,104
VMT_808514_TLaserSE,0,0,0,0,0,0,0,120
VMT_80815C_TStarsFieldSE,0,0,8421892,0,0,0,0,88
VMT_80556C_TShip2SE,0,0,8410644,0,0,0,0,428
VMT_800F0C_TPlanetSE,0,0,8392628,0,0,0,0,312
VMT_7F6110_TContainerSE,0,0,8348088,0,0,0,0,92
VMT_7D3030_THoleSE,0,0,8204504,0,0,0,0,104
VMT_780E1C_TSputnikSE,0,0,7868100,0,0,0,0,180
VMT_780798_TAsteroidSE,0,0,7866432,0,0,0,0,96
VMT_7099E0_TRuinsSE,0,0,7379592,0,0,0,0,212
VMT_68C6F4_TWeaponSE,0,0,6866844,0,0,0,0,216
VMT_5F8984_TGAIEffectSE,0,0,6261292,0,0,0,0,112
VMT_4E66A4_TMissileSE,0,0,0,0,0,0,0,92
VMT_4CF3EC_TGateEffectSE,0,0,0,0,0,0,0,92
VMT_4CF328_TGateSE,0,0,5043152,0,0,0,0,116
